anio,depto_divipola,departamento,valor_api_mm
2010,8,Atlántico,48535.47
2010,11,Bogotá D.C.,306870.17
2010,13,Bolívar,41350.88
2010,15,Boyacá,31913.35
2010,17,Caldas,19580.94
2010,18,Caquetá,4567.53
2010,19,Cauca,19235.35
2010,20,Cesar,22577.06
2010,23,Córdoba,20313.670000000002
2010,25,Cundinamarca,70144.51
2010,27,Chocó,6860.66
2010,41,Huila,20878.44
2010,44,La Guajira,14352.98
2010,47,Magdalena,16408.15
2010,50,Meta,45044.75
2010,52,Nariño,16987.2
2010,54,Norte de Santander,19430.45
2010,63,Quindío,9421.09
2010,66,Risaralda,18952.66
2010,68,Santander,75370.91
2010,70,Sucre,9211.8
2010,73,Tolima,26436.41
2010,76,Valle del Cauca,118278.72
2010,81,Arauca,10276.76
2010,85,Casanare,20401.78
2010,86,Putumayo,5686.74
2010,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",1768.73
2010,91,Amazonas,873.36
2010,94,Guainía,457.5
2010,95,Guaviare,1019.5
2010,97,Vaupés,324.68
2010,99,Vichada,839.1
2011,5,Antioquia,183418.46
2011,8,Atlántico,52151.270000000004
2011,11,Bogotá D.C.,329178.15
2011,13,Bolívar,46239.54
2011,15,Boyacá,36362.18
2011,17,Caldas,20135.66
2011,18,Caquetá,4853.0
2011,19,Cauca,20436.57
2011,20,Cesar,26084.99
2011,23,Córdoba,21574.83
2011,25,Cundinamarca,77212.77
2011,27,Chocó,7862.58
2011,41,Huila,23398.33
2011,44,La Guajira,15948.08
2011,47,Magdalena,17071.73
2011,50,Meta,61606.06
2011,52,Nariño,18390.77
2011,54,Norte de Santander,20395.86
2011,63,Quindío,10218.38
2011,66,Risaralda,19697.07
2011,68,Santander,82395.03
2011,70,Sucre,10011.83
2011,73,Tolima,28587.16
2011,76,Valle del Cauca,125438.52
2011,81,Arauca,11054.01
2011,85,Casanare,25641.98
2011,86,Putumayo,6580.9400000000005
2011,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",1888.3700000000001
2011,91,Amazonas,923.77
2011,94,Guainía,472.63
2011,95,Guaviare,1046.42
2011,97,Vaupés,358.54
2011,99,Vichada,856.12
2012,5,Antioquia,193984.56
2012,8,Atlántico,56858.04
2012,11,Bogotá D.C.,347641.29
2012,13,Bolívar,48657.32
2012,15,Boyacá,37946.25
2012,17,Caldas,20647.26
2012,18,Caquetá,5557.53
2012,19,Cauca,22437.73
2012,20,Cesar,27662.66
2012,23,Córdoba,23340.39
2012,25,Cundinamarca,81433.88
2012,27,Chocó,7599.86
2012,41,Huila,24262.97
2012,44,La Guajira,16781.93
2012,47,Magdalena,18250.91
2012,50,Meta,67198.83
2012,52,Nariño,19750.25
2012,54,Norte de Santander,20977.13
2012,63,Quindío,11059.04
2012,66,Risaralda,20668.95
2012,68,Santander,86151.02
2012,70,Sucre,10829.039999999999
2012,73,Tolima,29937.77
2012,76,Valle del Cauca,132048.08000000002
2012,81,Arauca,10628.99
2012,85,Casanare,27626.35
2012,86,Putumayo,6705.660000000001
2012,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2014.39
2012,91,Amazonas,971.05
2012,94,Guainía,506.16
2012,95,Guaviare,1112.33
2012,97,Vaupés,371.8
2012,99,Vichada,897.0300000000001
2013,5,Antioquia,203779.19
2013,8,Atlántico,61073.520000000004
2013,11,Bogotá D.C.,367884.25
2013,13,Bolívar,53723.79
2013,15,Boyacá,39521.21
2013,17,Caldas,22022.56
2013,18,Caquetá,6005.54
2013,19,Cauca,24915.81
2013,20,Cesar,27007.13
2013,23,Córdoba,24800.38
2013,25,Cundinamarca,85587.74
2013,27,Chocó,6695.15
2013,41,Huila,25603.53
2013,44,La Guajira,16644.49
2013,47,Magdalena,19624.1
2013,50,Meta,72640.2
2013,52,Nariño,21179.88
2013,54,Norte de Santander,22478.15
2013,63,Quindío,11368.67
2013,66,Risaralda,22424.43
2013,68,Santander,91228.18000000001
2013,70,Sucre,11603.05
2013,73,Tolima,31732.489999999998
2013,76,Valle del Cauca,138875.2
2013,81,Arauca,10207.82
2013,85,Casanare,29182.99
2013,86,Putumayo,7981.37
2013,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2192.45
2013,91,Amazonas,1029.1399999999999
2013,94,Guainía,546.29
2013,95,Guaviare,1188.43
2013,97,Vaupés,411.06
2013,99,Vichada,947.4
2014,5,Antioquia,218023.13999999998
2014,8,Atlántico,66232.03
2014,11,Bogotá D.C.,390267.85
2014,13,Bolívar,54421.73
2014,15,Boyacá,41859.55
2014,17,Caldas,23626.69
2014,18,Caquetá,6498.07
2014,19,Cauca,26982.71
2014,20,Cesar,28038.379999999997
2014,23,Córdoba,26591.83
2014,25,Cundinamarca,90025.69
2014,27,Chocó,6614.92
2014,41,Huila,27271.18
2014,44,La Guajira,17081.66
2014,47,Magdalena,19683.440000000002
2014,50,Meta,67232.77
2014,52,Nariño,22560.45
2014,54,Norte de Santander,23917.23
2014,63,Quindío,11824.19
2014,66,Risaralda,24096.74
2014,68,Santander,102939.95
2014,70,Sucre,12558.52
2014,73,Tolima,33695.24
2014,76,Valle del Cauca,148188.52
2014,81,Arauca,9316.539999999999
2014,85,Casanare,29871.059999999998
2014,86,Putumayo,8167.59
2014,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2343.68
2014,91,Amazonas,1095.41
2014,94,Guainía,567.0
2014,95,Guaviare,1267.66
2014,97,Vaupés,442.84000000000003
2014,99,Vichada,954.1899999999999
2015,5,Antioquia,230892.48
2015,8,Atlántico,71432.58
2015,11,Bogotá D.C.,412956.8
2015,13,Bolívar,56210.4
2015,15,Boyacá,44329.380000000005
2015,17,Caldas,25027.0
2015,18,Caquetá,6699.780000000001
2015,19,Cauca,29244.1
2015,20,Cesar,29140.82
2015,23,Córdoba,27313.08
2015,25,Cundinamarca,96110.24
2015,27,Chocó,7141.26
2015,41,Huila,27610.66
2015,44,La Guajira,17331.62
2015,47,Magdalena,21027.12
2015,50,Meta,61424.32
2015,52,Nariño,24459.46
2015,54,Norte de Santander,25068.0
2015,63,Quindío,12761.38
2015,66,Risaralda,25311.48
2015,68,Santander,103998.48
2015,70,Sucre,13154.64
2015,73,Tolima,34761.68
2015,76,Valle del Cauca,156148.54
2015,81,Arauca,9068.18
2015,85,Casanare,26609.98
2015,86,Putumayo,6962.9
2015,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2506.06
2015,91,Amazonas,1186.72
2015,94,Guainía,614.6
2015,95,Guaviare,1354.76
2015,97,Vaupés,466.88
2015,99,Vichada,1058.48
2016,5,Antioquia,245068.05
2016,8,Atlántico,74922.71
2016,11,Bogotá D.C.,432138.53
2016,13,Bolívar,60202.520000000004
2016,15,Boyacá,46012.38
2016,17,Caldas,26619.37
2016,18,Caquetá,7092.5
2016,19,Cauca,31045.45
2016,20,Cesar,32668.4
2016,23,Córdoba,28392.99
2016,25,Cundinamarca,103116.51
2016,27,Chocó,7986.88
2016,41,Huila,28329.15
2016,44,La Guajira,18333.61
2016,47,Magdalena,22560.7
2016,50,Meta,55239.68
2016,52,Nariño,26653.12
2016,54,Norte de Santander,26851.75
2016,63,Quindío,13757.21
2016,66,Risaralda,26917.8
2016,68,Santander,108357.59
2016,70,Sucre,13993.48
2016,73,Tolima,36570.85
2016,76,Valle del Cauca,165123.63
2016,81,Arauca,8423.35
2016,85,Casanare,24605.33
2016,86,Putumayo,6747.55
2016,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2645.32
2016,91,Amazonas,1274.25
2016,94,Guainía,638.35
2016,95,Guaviare,1393.59
2016,97,Vaupés,486.23
2016,99,Vichada,1102.23
2017,5,Antioquia,253342.79
2017,8,Atlántico,77659.18
2017,11,Bogotá D.C.,451292.04
2017,13,Bolívar,63661.81
2017,15,Boyacá,47294.36
2017,17,Caldas,27792.73
2017,18,Caquetá,7320.5
2017,19,Cauca,31623.31
2017,20,Cesar,35667.74
2017,23,Córdoba,29714.170000000002
2017,25,Cundinamarca,106130.8
2017,27,Chocó,7472.56
2017,41,Huila,28486.37
2017,44,La Guajira,19796.33
2017,47,Magdalena,23406.5
2017,50,Meta,58958.729999999996
2017,52,Nariño,26544.5
2017,54,Norte de Santander,27382.51
2017,63,Quindío,14368.72
2017,66,Risaralda,28129.870000000003
2017,68,Santander,113497.75
2017,70,Sucre,14680.529999999999
2017,73,Tolima,37935.02
2017,76,Valle del Cauca,171233.05
2017,81,Arauca,8495.75
2017,85,Casanare,26098.760000000002
2017,86,Putumayo,7004.2
2017,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2781.58
2017,91,Amazonas,1339.66
2017,94,Guainía,643.79
2017,95,Guaviare,1450.15
2017,97,Vaupés,502.47
2017,99,Vichada,1138.14
2018,5,Antioquia,266857.2
2018,8,Atlántico,80953.65
2018,11,Bogotá D.C.,475533.55
2018,13,Bolívar,66215.01
2018,15,Boyacá,50052.6
2018,17,Caldas,29106.15
2018,18,Caquetá,7597.36
2018,19,Cauca,32626.75
2018,20,Cesar,37388.18
2018,23,Córdoba,31013.9
2018,25,Cundinamarca,110632.92
2018,27,Chocó,7018.92
2018,41,Huila,29446.04
2018,44,La Guajira,20884.0
2018,47,Magdalena,24482.46
2018,50,Meta,64408.28
2018,52,Nariño,27527.38
2018,54,Norte de Santander,28784.42
2018,63,Quindío,14750.64
2018,66,Risaralda,29438.63
2018,68,Santander,118669.36
2018,70,Sucre,15224.470000000001
2018,73,Tolima,39133.5
2018,76,Valle del Cauca,180090.71
2018,81,Arauca,9346.810000000001
2018,85,Casanare,28795.17
2018,86,Putumayo,7422.64
2018,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2903.64
2018,91,Amazonas,1406.97
2018,94,Guainía,678.0
2018,95,Guaviare,1475.53
2018,97,Vaupés,529.5
2018,99,Vichada,1191.28
2019,5,Antioquia,283166.7
2019,8,Atlántico,85198.09
2019,11,Bogotá D.C.,502644.39
2019,13,Bolívar,70204.21
2019,15,Boyacá,52243.02
2019,17,Caldas,30809.6
2019,18,Caquetá,7911.66
2019,19,Cauca,34372.23
2019,20,Cesar,37405.5
2019,23,Córdoba,33067.94
2019,25,Cundinamarca,115994.17
2019,27,Chocó,7550.58
2019,41,Huila,31054.28
2019,44,La Guajira,20263.79
2019,47,Magdalena,25684.45
2019,50,Meta,68921.37
2019,52,Nariño,29024.989999999998
2019,54,Norte de Santander,29861.61
2019,63,Quindío,15512.64
2019,66,Risaralda,31064.63
2019,68,Santander,125621.53
2019,70,Sucre,16049.56
2019,73,Tolima,41054.14
2019,76,Valle del Cauca,190203.15
2019,81,Arauca,10163.32
2019,85,Casanare,29963.45
2019,86,Putumayo,7337.0
2019,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",3054.92
2019,91,Amazonas,1472.99
2019,94,Guainía,713.28
2019,95,Guaviare,1545.35
2019,97,Vaupés,559.68
2019,99,Vichada,1269.6
2020,5,Antioquia,269162.8
2020,8,Atlántico,80942.98
2020,11,Bogotá D.C.,474509.56
2020,13,Bolívar,63215.229999999996
2020,15,Boyacá,47898.41
2020,17,Caldas,29742.4
2020,18,Caquetá,7560.95
2020,19,Cauca,32841.29
2020,20,Cesar,32070.870000000003
2020,23,Córdoba,31811.800000000003
2020,25,Cundinamarca,110916.61
2020,27,Chocó,7799.49
2020,41,Huila,29864.28
2020,44,La Guajira,15723.48
2020,47,Magdalena,24716.75
2020,50,Meta,58367.86
2020,52,Nariño,28287.059999999998
2020,54,Norte de Santander,28647.16
2020,63,Quindío,14829.82
2020,66,Risaralda,29611.13
2020,68,Santander,113015.27
2020,70,Sucre,15400.94
2020,73,Tolima,38607.99
2020,76,Valle del Cauca,182045.43
2020,81,Arauca,9639.22
2020,85,Casanare,24901.989999999998
2020,86,Putumayo,6204.1900000000005
2020,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",2479.45
2020,91,Amazonas,1390.43
2020,94,Guainía,670.27
2020,95,Guaviare,1512.45
2020,97,Vaupés,535.15
2020,99,Vichada,1242.1000000000001
2021,5,Antioquia,314400.44
2021,8,Atlántico,93272.89
2021,11,Bogotá D.C.,540301.04
2021,13,Bolívar,74939.01
2021,15,Boyacá,54329.14
2021,17,Caldas,34066.54
2021,18,Caquetá,8448.5
2021,19,Cauca,37497.1
2021,20,Cesar,38154.49
2021,23,Córdoba,36614.83
2021,25,Cundinamarca,128596.49
2021,27,Chocó,8796.05
2021,41,Huila,34059.79
2021,44,La Guajira,23432.13
2021,47,Magdalena,28467.04
2021,50,Meta,68351.88
2021,52,Nariño,32063.87
2021,54,Norte de Santander,32812.76
2021,63,Quindío,17204.95
2021,66,Risaralda,34171.36
2021,68,Santander,132294.4
2021,70,Sucre,17470.45
2021,73,Tolima,43921.520000000004
2021,76,Valle del Cauca,206524.53
2021,81,Arauca,11349.23
2021,85,Casanare,29328.579999999998
2021,86,Putumayo,7391.59
2021,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",3102.22
2021,91,Amazonas,1585.27
2021,94,Guainía,774.74
2021,95,Guaviare,1698.81
2021,97,Vaupés,598.24
2021,99,Vichada,1408.62
2022,5,Antioquia,358448.79
2022,8,Atlántico,108024.58
2022,11,Bogotá D.C.,621265.15
2022,13,Bolívar,87242.88
2022,15,Boyacá,63889.32
2022,17,Caldas,39366.36
2022,18,Caquetá,9334.85
2022,19,Cauca,43177.72
2022,20,Cesar,53898.0
2022,23,Córdoba,42039.18
2022,25,Cundinamarca,151385.53
2022,27,Chocó,9795.29
2022,41,Huila,39437.68
2022,44,La Guajira,31167.29
2022,47,Magdalena,32843.38
2022,50,Meta,85254.88
2022,52,Nariño,35982.799999999996
2022,54,Norte de Santander,38402.47
2022,63,Quindío,19935.690000000002
2022,66,Risaralda,39915.99
2022,68,Santander,154566.82
2022,70,Sucre,19503.989999999998
2022,73,Tolima,50610.38
2022,76,Valle del Cauca,238027.19
2022,81,Arauca,13638.76
2022,85,Casanare,35923.01
2022,86,Putumayo,9019.81
2022,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",3603.02
2022,91,Amazonas,1779.48
2022,94,Guainía,834.14
2022,95,Guaviare,1917.14
2022,97,Vaupés,645.44
2022,99,Vichada,1579.21
2023,5,Antioquia,377179.17
2023,8,Atlántico,114891.09
2023,11,Bogotá D.C.,654906.55
2023,13,Bolívar,92494.26
2023,15,Boyacá,66486.56
2023,17,Caldas,41425.71
2023,18,Caquetá,9992.039999999999
2023,19,Cauca,45279.42
2023,20,Cesar,48724.04
2023,23,Córdoba,44325.05
2023,25,Cundinamarca,159176.11000000002
2023,27,Chocó,10565.26
2023,41,Huila,41424.29
2023,44,La Guajira,28599.03
2023,47,Magdalena,34729.51
2023,50,Meta,84228.2
2023,52,Nariño,37754.51
2023,54,Norte de Santander,40313.26
2023,63,Quindío,21001.41
2023,66,Risaralda,42368.98
2023,68,Santander,162768.96000000002
2023,70,Sucre,20618.25
2023,73,Tolima,53127.99
2023,76,Valle del Cauca,249981.52
2023,81,Arauca,13295.22
2023,85,Casanare,35389.24
2023,86,Putumayo,9217.08
2023,88,"San Andrés, Providencia y Santa Catalina (Archipiélago)",3753.38
2023,91,Amazonas,1901.66
2023,94,Guainía,894.3
2023,95,Guaviare,2032.22
2023,97,Vaupés,692.48
2023,99,Vichada,1681.47
